name,uuidVar
Smoke,Smoke
Location,Location
WaterLeakage,WaterLeakage
MijiaCurtain1,MijiaCurtain1
MijiaCurtain2,MijiaCurtain2
YeelightBulb,YeelightBulb
SmartThingsDoorSensor,SmartThingsDoorSensor
MijiaDoorLock,MijiaDoorLock
RingDoorbell,RingDoorbell
iRobotRoomba,iRobotRoomba
AlexaVoiceAssistance,AlexaVoiceAssistance
PhilipsHueLight,PhilipsHueLight
MideaAirConditioner,MideaAirConditioner
NetatmoWeatherStation,NetatmoWeatherStation
YeelightCeilingLamp1,YeelightCeilingLamp1
YeelightCeilingLamp2,YeelightCeilingLamp2
YeelightCeilingLamp3,YeelightCeilingLamp3
YeelightCeilingLamp5,YeelightCeilingLamp5
YeelightCeilingLamp6,YeelightCeilingLamp6
WemoSmartPlug,WemoSmartPlug
WyzeCamera,WyzeCamera
SmartLifePIRmotionsensor1,SmartLifePIRmotionsensor1
SmartLifePIRmotionsensor2,SmartLifePIRmotionsensor2
SmartLifePIRmotionsensor3,SmartLifePIRmotionsensor3
MijiaPurifier,MijiaPurifier
MijiaProjector,MijiaProjector
Notification,Notification
